rank,movie_name,ww_lifetime_gross_rev,domestic_lifetime_gross_rev,domestic_percent,foreign_lifetime_gross_rev,foreign_percent,year
"17,270",Gulliver Returns,"$1,757,641",-,-,"$1,757,641",100%,2021
"17,271",Firmin,"$1,757,609",-,-,"$1,757,609",100%,2007
"17,272",The Firing Squad,"$1,757,110","$1,757,110",100%,$0,-,2024
"17,273",The Summit of the Gods,"$1,756,552",-,-,"$1,756,552",100%,2021
"17,274",Come Play with Me,"$1,755,928",-,-,"$1,755,928",100%,2021
"17,275",Fasten Your Seatbelt,"$1,755,894",-,-,"$1,755,894",100%,2013
"17,276",Mastermind,"$1,755,773",-,-,"$1,755,773",100%,2006
"17,277",Bad Lands,"$1,755,745",-,-,"$1,755,745",100%,2023
"17,278",The Truth Beneath,"$1,755,561",-,-,"$1,755,561",100%,2016
"17,279",Sam and Colby: The Legends of the Paranormal,"$1,755,000","$1,755,000",100%,$0,-,2024
"17,280",All Good Things,"$1,754,389","$582,024",33.2%,"$1,172,365",66.8%,2009
"17,281",Carnosaur,"$1,753,979","$1,753,979",100%,$0,-,1993
"17,282",Boss Level,"$1,753,823",-,-,"$1,753,823",100%,2021
"17,283",Sai de Baixo: O Filme,"$1,753,663",-,-,"$1,753,663",100%,2019
"17,284",Streif: One Hell of a Ride,"$1,753,060",-,-,"$1,753,060",100%,2014
"17,285",Going the Distance,"$1,752,950","$1,230,897",70.2%,"$522,053",29.8%,2004
"17,286",Cutter's Way,"$1,752,634","$1,729,274",98.7%,"$23,360",1.3%,1981
"17,287","When I Get Home, My Wife Always Pretends to Be Dead.","$1,752,391",-,-,"$1,752,391",100%,2018
"17,288",Back to the Beginning,"$1,752,277",-,-,"$1,752,277",100%,2016
"17,289",The Blizzard,"$1,752,067",-,-,"$1,752,067",100%,2018
"17,290",Adam & Eve,"$1,752,038",-,-,"$1,752,038",100%,2024
"17,291",Captain Hima,"$1,751,934",-,-,"$1,751,934",100%,2008
"17,292",Murderball,"$1,751,895","$1,531,154",87.4%,"$220,741",12.6%,2005
"17,293",Pledge This!,"$1,751,490",-,-,"$1,751,490",100%,2007
"17,294",The Courier,"$1,751,343",-,-,"$1,751,343",100%,2024
"17,295",Turk's Head,"$1,751,180",-,-,"$1,751,180",100%,2010
"17,296",Frère et Soeur,"$1,750,753",-,-,"$1,750,753",100%,2022
"17,297",Socialphobia,"$1,750,719",-,-,"$1,750,719",100%,2015
"17,298",Tatami,"$1,750,678",-,-,"$1,750,678",100%,2024
"17,299",Flirting in the Air,"$1,750,354",-,-,"$1,750,354",100%,2014
"17,300",Prospero's Books,"$1,750,301","$1,750,301",100%,$0,-,1991
"17,301",Hunk,"$1,749,956","$1,749,956",100%,$0,-,1987
"17,302",My Mother's Wound,"$1,749,704",-,-,"$1,749,704",100%,2016
"17,303",Bad Blood,"$1,748,684",-,-,"$1,748,684",100%,2023
"17,304",One Day in Istanbul,"$1,748,125",-,-,"$1,748,125",100%,2024
"17,305",Les formidables,"$1,747,342",-,-,"$1,747,342",100%,2006
"17,306",Games of Love and Chance,"$1,747,263","$8,085",0.5%,"$1,739,178",99.5%,2004
"17,307",Massenet: Cendrillon,"$1,747,259","$1,243,306",71.2%,"$503,953",28.8%,2018
"17,308",Do Unto Others,"$1,746,479",-,-,"$1,746,479",100%,2023
"17,309",Khun Phan,"$1,746,350",-,-,"$1,746,350",100%,2016
"17,310",Nobody's Perfect!,"$1,746,269",-,-,"$1,746,269",100%,2017
"17,311",Beauties at War,"$1,746,131",-,-,"$1,746,131",100%,2009
"17,312",Vanya on 42nd Street,"$1,746,050","$1,746,050",100%,$0,-,1994
"17,313",The Debut,"$1,745,778","$1,745,778",100%,$0,-,2001
"17,314",Everybody's Fine,"$1,745,470","$1,745,470",100%,$0,-,1991
"17,315",Realnaya skazka,"$1,744,195",-,-,"$1,744,195",100%,2011
"17,316",Personal Services,"$1,744,164","$1,744,164",100%,$0,-,1987
"17,317",Beast,"$1,744,071","$800,365",45.9%,"$943,706",54.1%,2018
"17,318",Customs Frontline,"$1,743,858","$122,095",7%,"$1,621,763",93%,2024
"17,319","Turn Me On, Dammit!","$1,743,743","$126,085",7.2%,"$1,617,658",92.8%,2011
"17,320",Strong Love,"$1,743,175",-,-,"$1,743,175",100%,2002
"17,321",Wuthering Heights,"$1,742,215","$100,915",5.8%,"$1,641,300",94.2%,2011
"17,322",The Prayer,"$1,741,967",-,-,"$1,741,967",100%,2018
"17,323",The Priest,"$1,741,065",-,-,"$1,741,065",100%,2010
"17,324",An Almost Perfect Country,"$1,740,803",-,-,"$1,740,803",100%,2016
"17,325",Mary and Max,"$1,740,791",-,-,"$1,740,791",100%,2009
"17,326",To musi byc milosc,"$1,740,520",-,-,"$1,740,520",100%,2021
"17,327",Hridayam,"$1,740,483",-,-,"$1,740,483",100%,2022
"17,328",Geng: The Adventure Begins,"$1,740,337",-,-,"$1,740,337",100%,2009
"17,329",Gadar 2,"$1,740,275",-,-,"$1,740,275",100%,2023
"17,330",Suicide Kings,"$1,740,156","$1,740,156",100%,$0,-,1998
"17,331",Tale of a Lake,"$1,740,042",-,-,"$1,740,042",100%,2016
"17,332",Royal Shakespeare Company: Richard II,"$1,739,518",-,-,"$1,739,518",100%,2013
"17,333",Hokusai,"$1,739,201",-,-,"$1,739,201",100%,2021
"17,334",House III: The Horror Show,"$1,738,897","$1,738,897",100%,$0,-,1989
"17,335",The Great Magician,"$1,738,798",-,-,"$1,738,798",100%,2012
"17,336",Amaran,"$1,738,671",-,-,"$1,738,671",100%,2024
"17,337",Norm of the North: King Sized Adventure,"$1,738,633",-,-,"$1,738,633",100%,2019
"17,338",Darbar,"$1,738,535",-,-,"$1,738,535",100%,2020
"17,339",Some Like It Veiled,"$1,738,143",-,-,"$1,738,143",100%,2017
"17,340",Eep!,"$1,737,742",-,-,"$1,737,742",100%,2009
"17,341",Sister Smile,"$1,737,658",-,-,"$1,737,658",100%,2009
"17,342",Známi neznámi,"$1,737,560",-,-,"$1,737,560",100%,2021
"17,343",Baantjer het begin,"$1,737,522",-,-,"$1,737,522",100%,2019
"17,344",Starter for 10,"$1,736,394","$216,839",12.5%,"$1,519,555",87.5%,2006
"17,345",Deep Breath,"$1,736,320",-,-,"$1,736,320",100%,2014
"17,346",Joe Bell,"$1,736,318","$1,405,488",81%,"$330,830",19%,2021
"17,347",Barbarosa,"$1,736,123","$1,736,123",100%,$0,-,1982
"17,348",My New Partner,"$1,736,012",-,-,"$1,736,012",100%,2008
"17,349",Koati,"$1,735,864",-,-,"$1,735,864",100%,2022
"17,350",The Peppercorns and the Secret of the Deep Sea,"$1,735,419",-,-,"$1,735,419",100%,2021
"17,351",L'odyssée d'Alice Tremblay,"$1,734,925","$1,734,925",100%,$0,-,2002
"17,352",Oddity,"$1,733,867","$1,200,477",69.2%,"$533,390",30.8%,2024
"17,353",The Action Pack,"$1,733,258",-,-,"$1,733,258",100%,2023
"17,354",Black Ice,"$1,733,080",-,-,"$1,733,080",100%,2007
"17,355",Little Nikita,"$1,733,070","$1,733,070",100%,$0,-,1988
"17,356",The Big Town,"$1,733,017","$1,733,017",100%,$0,-,1987
"17,357",De club van Sinterklaas & de verdwenen schoentjes,"$1,732,892",-,-,"$1,732,892",100%,2015
"17,358",My Brother 2,"$1,732,579",-,-,"$1,732,579",100%,2017
"17,359",Alesha Popovich and the Snake,"$1,732,414",-,-,"$1,732,414",100%,2004
"17,360",The Dragon Spell,"$1,731,355",-,-,"$1,731,355",100%,2016
"17,361",My Father's Glory,"$1,730,856","$1,730,856",100%,$0,-,1991
"17,362",First Position,"$1,730,824","$1,014,071",58.6%,"$716,753",41.4%,2012
"17,363",LasseMajas detektivbyrå - Von Broms hemlighet,"$1,730,646",-,-,"$1,730,646",100%,2008
"17,364",Die Perlmutterfarbe,"$1,730,414",-,-,"$1,730,414",100%,2009
"17,365",The Rosary Murders,"$1,730,337","$1,730,337",100%,$0,-,1987
"17,366",Ang cute ng ina mo!,"$1,730,110",-,-,"$1,730,110",100%,2007
"17,367",Last Exit to Brooklyn,"$1,730,005","$1,730,005",100%,$0,-,1990
"17,368",A Moment of Love,"$1,730,000",-,-,"$1,730,000",100%,2013
"17,369",The Moment of the Sunrise,"$1,729,565",-,-,"$1,729,565",100%,2019
"17,370",Groenten uit Balen,"$1,729,514",-,-,"$1,729,514",100%,2011
"17,371",Some Time Later,"$1,729,112",-,-,"$1,729,112",100%,2018
"17,372",The Tiger's Nest,"$1,729,056",-,-,"$1,729,056",100%,2022
"17,373",Bizim Köyün Sarkisi,"$1,728,998",-,-,"$1,728,998",100%,2018
"17,374",The Happy Cricket and the Giant Bugs,"$1,728,807",-,-,"$1,728,807",100%,2009
"17,375",The Red and the Blue,"$1,728,638",-,-,"$1,728,638",100%,2012
"17,376",Che vuoi che sia,"$1,728,588",-,-,"$1,728,588",100%,2016
"17,377",Over Water,"$1,728,483",-,-,"$1,728,483",100%,2017
"17,378",After Love,"$1,728,251","$13,693",0.8%,"$1,714,558",99.2%,2016
"17,379",Koyaanisqatsi,"$1,728,124","$1,723,872",99.8%,"$4,252",0.2%,1983
"17,380",Mutluyuz,"$1,727,388",-,-,"$1,727,388",100%,2023
"17,381",Girl Rising,"$1,727,259","$1,727,259",100%,$0,-,2013
"17,382",The Dreamlife of Angels,"$1,726,567","$1,726,567",100%,$0,-,1999
"17,383",Garfield Gets Real,"$1,726,453",-,-,"$1,726,453",100%,2007
"17,384",OVA: Memory Snow,"$1,725,339",-,-,"$1,725,339",100%,2018
"17,385",Me contro Te: Cattivissimi a Natale,"$1,724,944",-,-,"$1,724,944",100%,2024
"17,386",Lagaan: Once Upon a Time in India,"$1,724,806","$909,043",52.7%,"$815,763",47.3%,2001
"17,387",3 Türken & ein Baby,"$1,723,883",-,-,"$1,723,883",100%,2015
"17,388",The Sword of Alexander,"$1,723,861",-,-,"$1,723,861",100%,2007
"17,389",Stryker,"$1,723,487","$1,723,487",100%,$0,-,1983
"17,390",The Waterdance,"$1,723,319","$1,723,319",100%,$0,-,1992
"17,391",Once Upon a Time in the North,"$1,721,942",-,-,"$1,721,942",100%,2012
"17,392",Chilangolandia,"$1,721,856",-,-,"$1,721,856",100%,2021
"17,393",Diana Vreeland: The Eye Has to Travel,"$1,721,472","$1,017,579",59.1%,"$703,893",40.9%,2012
"17,394",Gekijouban anime Nintama rantarou: Ninjutsu gakuen zenin shutsudou! no dan,"$1,721,191",-,-,"$1,721,191",100%,2011
"17,395",Jan Pawel II: Szukalem Was...,"$1,720,882",-,-,"$1,720,882",100%,2011
"17,396",A Faithful Man,"$1,720,645","$77,491",4.5%,"$1,643,154",95.5%,2018
"17,397",A Tale of Legendary Libido,"$1,720,621",-,-,"$1,720,621",100%,2008
"17,398",Link,"$1,720,450","$1,720,450",100%,$0,-,1986
"17,399",Nickel Boys,"$1,720,411","$1,562,377",90.8%,"$158,034",9.2%,2024
"17,400",La ferme des Bertrand,"$1,719,910",-,-,"$1,719,910",100%,2024
"17,401",RDX: Robert Dony Xavier,"$1,718,847",-,-,"$1,718,847",100%,2023
"17,402",Vicini di casa,"$1,718,566",-,-,"$1,718,566",100%,2022
"17,403",Pension complète,"$1,717,480",-,-,"$1,717,480",100%,2015
"17,404",Siberian Exile,"$1,716,849",-,-,"$1,716,849",100%,2013
"17,405",La vita che vorrei,"$1,716,772",-,-,"$1,716,772",100%,2004
"17,406",September 5,"$1,716,421","$1,716,421",100%,$0,-,2024
"17,407",Weiner,"$1,715,955","$1,676,108",97.7%,"$39,847",2.3%,2016
"17,408",India's Most Wanted,"$1,715,851","$176,858",10.3%,"$1,538,993",89.7%,2019
"17,409","Time Lost, Time Found","$1,715,773",-,-,"$1,715,773",100%,2009
"17,410",Dog Nail Clipper,"$1,715,478",-,-,"$1,715,478",100%,2004
"17,411",Getting Home,"$1,715,268",-,-,"$1,715,268",100%,2007
"17,412",700 Days of Battle: Us vs. the Police,"$1,714,745",-,-,"$1,714,745",100%,2008
"17,413",Till We Meet Again,"$1,714,572",-,-,"$1,714,572",100%,2021
"17,414",Miller's Girl,"$1,714,512",-,-,"$1,714,512",100%,2024
"17,415",De allergrootste slijmfilm,"$1,714,216",-,-,"$1,714,216",100%,2022
"17,416",The Garden of Sinners: Future Gospel,"$1,713,850",-,-,"$1,713,850",100%,2013
"17,417",Grand Central,"$1,713,691",-,-,"$1,713,691",100%,2013
"17,418",City of Dreams,"$1,713,427","$1,713,427",100%,$0,-,2024
"17,419",Safe Conduct,"$1,713,421","$25,440",1.5%,"$1,687,981",98.5%,2002
"17,420",Ghost in the Shell: The New Movie,"$1,713,406","$101,203",5.9%,"$1,612,203",94.1%,2015
"17,421",The Finnish Flash: A Teemu Selänne Story,"$1,713,266",-,-,"$1,713,266",100%,2013
"17,422","To Joey, with Love","$1,713,139","$1,709,073",99.8%,"$4,066",0.2%,2016
"17,423",Them Who?,"$1,712,863",-,-,"$1,712,863",100%,2015
"17,424","Love, Sex & Pandemic","$1,712,634",-,-,"$1,712,634",100%,2022
"17,425",Amongst Bees,"$1,712,607",-,-,"$1,712,607",100%,2015
"17,426",The Life and Times of Hank Greenberg,"$1,712,385","$1,712,385",100%,$0,-,2000
"17,427",Generazione mille euro,"$1,712,362",-,-,"$1,712,362",100%,2009
"17,428",Another Woman,"$1,712,086",-,-,"$1,712,086",100%,2019
"17,429",Finding Friends,"$1,711,995",-,-,"$1,711,995",100%,2005
"17,430",Long Long Time Ago 2,"$1,711,647",-,-,"$1,711,647",100%,2016
"17,431",3 Million Euros,"$1,711,435",-,-,"$1,711,435",100%,2017
"17,432",Karla's World,"$1,711,260",-,-,"$1,711,260",100%,2007
"17,433",High Heels,"$1,710,876","$1,710,057",100%,$819,<0.1%,1991
"17,434",A Special Lady,"$1,710,852",-,-,"$1,710,852",100%,2017
"17,435",One More Chance,"$1,710,500",-,-,"$1,710,500",100%,2023
"17,436",Lamborghini: The Man Behind the Legend,"$1,709,686",-,-,"$1,709,686",100%,2022
"17,437",Agente Ñero Ñero 7,"$1,709,359",-,-,"$1,709,359",100%,2016
"17,438",Veronika Decides to Die,"$1,709,178",-,-,"$1,709,178",100%,2009
"17,439",The Girl on the Bridge,"$1,709,141","$1,708,839",100%,$302,<0.1%,2000
"17,440",Paradise: Love,"$1,709,036","$24,267",1.4%,"$1,684,769",98.6%,2012
"17,441",Even Cowgirls Get the Blues,"$1,708,873","$1,708,873",100%,$0,-,1994
"17,442",GazGolder,"$1,708,631",-,-,"$1,708,631",100%,2014
"17,443",Buppah Rahtree Phase 2: Rahtree Returns,"$1,708,500",-,-,"$1,708,500",100%,2005
"17,444",Song Express,"$1,707,978",-,-,"$1,707,978",100%,2021
"17,445",La fiancée du poète,"$1,707,850",-,-,"$1,707,850",100%,2023
"17,446",Citizen Kane,"$1,707,754","$1,627,530",95.3%,"$80,224",4.7%,1941
"17,447",Never Ending Story,"$1,707,723",-,-,"$1,707,723",100%,2012
"17,448",Infinite Storm,"$1,707,067","$1,600,543",93.8%,"$106,524",6.2%,2022
"17,449",Doctor's Mind,"$1,706,807",-,-,"$1,706,807",100%,2017
"17,450",Heroic,"$1,706,687",-,-,"$1,706,687",100%,2023
"17,451",Holy Spider,"$1,706,583","$307,188",18%,"$1,399,395",82%,2022
"17,452",Our Struggles,"$1,706,329",-,-,"$1,706,329",100%,2018
"17,453",The Maid,"$1,705,977","$576,608",33.8%,"$1,129,369",66.2%,2009
"17,454","Men, Women & Children","$1,705,908","$705,908",41.4%,"$1,000,000",58.6%,2014
"17,455",The Three Exclamation Marks,"$1,705,811",-,-,"$1,705,811",100%,2019
"17,456",Notre Dame,"$1,705,268",-,-,"$1,705,268",100%,2019
"17,457",A Spicy Kraut,"$1,705,152",-,-,"$1,705,152",100%,2014
"17,458",Lady in White,"$1,705,139","$1,705,139",100%,$0,-,1988
"17,459",Nobel's Last Will,"$1,704,964",-,-,"$1,704,964",100%,2012
"17,460",The Treasure Hunter,"$1,704,776",-,-,"$1,704,776",100%,2009
"17,461",Dry Wood Fierce Fire,"$1,704,492",-,-,"$1,704,492",100%,2002
"17,462",Balas & Bolinhos: O Último Capítulo,"$1,704,467",-,-,"$1,704,467",100%,2012
"17,463",The Barkers Team,"$1,704,110",-,-,"$1,704,110",100%,2022
"17,464",The Girl on the Train,"$1,703,963","$208,023",12.2%,"$1,495,940",87.8%,2009
"17,465",The Oscar Nominated Short Films 2012: Live Action,"$1,702,415","$1,702,415",100%,$0,-,2012
"17,466",Death Wish: The Face of Death,"$1,702,394","$1,702,394",100%,$0,-,1994
"17,467",The Passengers of the Night,"$1,702,129",-,-,"$1,702,129",100%,2022
"17,468",Mao Zedong 1949,"$1,701,951",-,-,"$1,701,951",100%,2019
"17,469",The Eye of the Storm,"$1,701,939",-,-,"$1,701,939",100%,2009
"17,470",Distance,"$1,701,658",-,-,"$1,701,658",100%,2016
"17,471",Frozen Land,"$1,701,582",-,-,"$1,701,582",100%,2005
"17,472",Treasure,"$1,701,366","$541,578",31.8%,"$1,159,788",68.2%,2024
"17,473",V dobrém i zlém,"$1,701,237",-,-,"$1,701,237",100%,2024
"17,474",Morgan Pålsson - Världsreporter,"$1,701,124",-,-,"$1,701,124",100%,2008
"17,475",Perfect Nanny,"$1,701,077",-,-,"$1,701,077",100%,2019
"17,476",The Scent of Green Papaya,"$1,700,992","$1,700,992",100%,$0,-,1994
"17,477",Meet the Patels,"$1,700,681","$1,700,681",100%,$0,-,2015
"17,478",Chor Machaaye Shor,"$1,700,361",-,-,"$1,700,361",100%,2002
"17,479",Seven Dinners,"$1,700,268",-,-,"$1,700,268",100%,2019
"17,480",National Theatre Live: Dear England,"$1,700,251",-,-,"$1,700,251",100%,2024
"17,481",Best of the Best,"$1,700,000","$1,700,000",100%,$0,-,1989
"17,482",The Banker,"$1,700,000",-,-,"$1,700,000",100%,2021
"17,483",Black School Rules,"$1,699,916",-,-,"$1,699,916",100%,2019
"17,484",Teri Baaton Mein Aisa Uljha Jiya,"$1,699,722",-,-,"$1,699,722",100%,2024
"17,485",Gandhada Gudi,"$1,699,551",-,-,"$1,699,551",100%,2022
"17,486",One Out of Two,"$1,698,848",-,-,"$1,698,848",100%,2007
"17,487",What's Cooking?,"$1,698,759","$1,045,899",61.6%,"$652,860",38.4%,2000
"17,488",Bécassine!,"$1,698,442",-,-,"$1,698,442",100%,2018
"17,489",Josée,"$1,697,922",-,-,"$1,697,922",100%,2020
"17,490",Dark Water,"$1,697,367",-,-,"$1,697,367",100%,2002
"17,491",Tekken,"$1,697,207",-,-,"$1,697,207",100%,2010
"17,492",Aftermath,"$1,696,330",-,-,"$1,696,330",100%,2012
"17,493",Climax,"$1,696,269","$817,339",48.2%,"$878,930",51.8%,2018
"17,494",The Wild Pear Tree,"$1,696,258","$34,014",2%,"$1,662,244",98%,2018
"17,495",All About Eve,"$1,696,238",-,-,"$1,696,238",100%,2019
"17,496",Penny's Shadow,"$1,696,199",-,-,"$1,696,199",100%,2011
"17,497",The Rain Killer,"$1,696,066","$1,696,066",100%,$0,-,1990
"17,498",Et la fête continue!,"$1,695,554",-,-,"$1,695,554",100%,2023
"17,499",The King of Laughter,"$1,695,471",-,-,"$1,695,471",100%,2021
"17,500",Fire of Love,"$1,695,072","$1,120,412",66.1%,"$574,660",33.9%,2022
"17,501",Sammen om drømmen,"$1,695,072",-,-,"$1,695,072",100%,2017
"17,502",Viejos amigos,"$1,695,006",-,-,"$1,695,006",100%,2014
"17,503",Max Embarrassing,"$1,694,896",-,-,"$1,694,896",100%,2008
"17,504",Maman,"$1,694,740",-,-,"$1,694,740",100%,2012
"17,505",Saranae hen phi,"$1,694,232",-,-,"$1,694,232",100%,2010
"17,506",Gentleman,"$1,693,962",-,-,"$1,693,962",100%,2022
"17,507",Km 31-2,"$1,693,944",-,-,"$1,693,944",100%,2016
"17,508",Siete mesas de billar francés,"$1,693,814",-,-,"$1,693,814",100%,2007
"17,509",Colors in the Dark,"$1,692,948",-,-,"$1,692,948",100%,2011
"17,510",Black,"$1,692,776",-,-,"$1,692,776",100%,2015
"17,511",Sab el-Burumbah,"$1,692,762",-,-,"$1,692,762",100%,2019
"17,512",Come Away,"$1,692,494","$184,477",10.9%,"$1,508,017",89.1%,2020
"17,513",Stormforce,"$1,692,312",-,-,"$1,692,312",100%,2006
"17,514",Open Hearts,"$1,692,272","$136,170",8%,"$1,556,102",92%,2002
"17,515",Tumbbad,"$1,691,980",-,-,"$1,691,980",100%,2024
"17,516",Three,"$1,691,811",-,-,"$1,691,811",100%,2002
"17,517","National Theatre Live: One Man, Two Guvnors","$1,691,794",-,-,"$1,691,794",100%,2011
"17,518",State Property: Blood on the Streets,"$1,691,706","$1,691,706",100%,$0,-,2005
"17,519",Drona,"$1,691,289",-,-,"$1,691,289",100%,2008
"17,520",De zevende hemel,"$1,691,161",-,-,"$1,691,161",100%,2016
"17,521",Woozle & Pip in Search of the Scallywagger!,"$1,691,144",-,-,"$1,691,144",100%,2016
"17,522",Do Not Use,"$1,691,069",-,-,"$1,691,069",100%,2014
"17,523",Wolf Summer,"$1,691,055",-,-,"$1,691,055",100%,2002
"17,524",El vacilón: The Movie,"$1,690,929","$1,291,951",76.4%,"$398,978",23.6%,2005
"17,525",The Murder Farm,"$1,690,811",-,-,"$1,690,811",100%,2009
"17,526",The Legend of Johnny Lingo,"$1,690,767","$1,690,767",100%,$0,-,2003
"17,527",The Chrysalis,"$1,690,000",-,-,"$1,690,000",100%,2013
"17,528",The Breed,"$1,689,984","$14,500",0.9%,"$1,675,484",99.1%,2006
"17,529",Three Changes,"$1,689,967",-,-,"$1,689,967",100%,2017
"17,530",Dead Man,"$1,689,878",-,-,"$1,689,878",100%,2024
"17,531",Daughters of the Dust,"$1,689,723","$1,683,422",99.6%,"$6,301",0.4%,1992
"17,532",Body Rock,"$1,689,501","$1,689,501",100%,$0,-,1984
"17,533",Another One,"$1,689,389",-,-,"$1,689,389",100%,2022
"17,534",In Search of an Impotent Man,"$1,689,116",-,-,"$1,689,116",100%,2003
"17,535",The Country Teacher,"$1,689,107",-,-,"$1,689,107",100%,2008
"17,536",Detachment,"$1,688,710","$72,689",4.3%,"$1,616,021",95.7%,2012
"17,537",Nefes: Yer Eksi Iki,"$1,688,694",-,-,"$1,688,694",100%,2023
"17,538",The Broken,"$1,688,551",-,-,"$1,688,551",100%,2008
"17,539",Frogs and Toads,"$1,688,304",-,-,"$1,688,304",100%,2009
"17,540",Betibú,"$1,687,797",-,-,"$1,687,797",100%,2014
"17,541",Detention,"$1,687,554",-,-,"$1,687,554",100%,2019
"17,542",Slamma Jamma,"$1,687,000","$1,687,000",100%,$0,-,2017
"17,543",Tim's Vermeer,"$1,686,917","$1,671,377",99.1%,"$15,540",0.9%,2014
"17,544",Super Model,"$1,686,769",-,-,"$1,686,769",100%,2004
"17,545",Deerskin,"$1,686,700",-,-,"$1,686,700",100%,2019
"17,546",Luke and Lucy: The Texas Rangers,"$1,686,087",-,-,"$1,686,087",100%,2009
"17,547",Huesera: The Bone Woman,"$1,685,816",-,-,"$1,685,816",100%,2023
"17,548",Oh My Ghosts!,"$1,685,783",-,-,"$1,685,783",100%,2009
"17,549",The Legacy of the Sun,"$1,685,267",-,-,"$1,685,267",100%,2011
"17,550",Gekijouban Tenisu no oujisama: Eikokushiki teikyujou kessen!,"$1,685,127",-,-,"$1,685,127",100%,2011
"17,551",Empty Barrels,"$1,683,895",-,-,"$1,683,895",100%,2010
"17,552",Janis: Little Girl Blue,"$1,683,166","$410,465",24.4%,"$1,272,701",75.6%,2015
"17,553",Josep,"$1,683,009",-,-,"$1,683,009",100%,2020
"17,554",Sodak Sodak,"$1,682,279",-,-,"$1,682,279",100%,2018
"17,555",Happy Endings,"$1,682,206","$1,315,701",78.2%,"$366,505",21.8%,2005
"17,556",Like a Prince,"$1,681,549",-,-,"$1,681,549",100%,2024
"17,557",Looking for Ioannis Varvakis,"$1,680,901",-,-,"$1,680,901",100%,2012
"17,558",The Hunter,"$1,680,778","$176,669",10.5%,"$1,504,109",89.5%,2011
"17,559",Matewan,"$1,680,358","$1,680,358",100%,$0,-,1987
"17,560",Invalid,"$1,680,261",-,-,"$1,680,261",100%,2023
"17,561",Spy,"$1,680,139",-,-,"$1,680,139",100%,2023
"17,562",Princes of the Desert,"$1,680,038",-,-,"$1,680,038",100%,2023
"17,563","The Book of Mormon Movie, Volume 1: The Journey","$1,680,020","$1,680,020",100%,$0,-,2003
"17,564",In Between,"$1,679,952","$107,977",6.4%,"$1,571,975",93.6%,2016
"17,565",Sunstroke,"$1,679,843",-,-,"$1,679,843",100%,2014
"17,566",Divine Intervention,"$1,679,544","$421,343",25.1%,"$1,258,201",74.9%,2002
"17,567",The Man Behind the Courtyard House,"$1,679,389",-,-,"$1,679,389",100%,2011
"17,568",Ma Dai,"$1,679,081",-,-,"$1,679,081",100%,2015
"17,569",Their Uncle,"$1,678,948",-,-,"$1,678,948",100%,2022
"17,570",Balas & Bolinhos: Só Mais uma Coisa,"$1,678,781",-,-,"$1,678,781",100%,2024
"17,571",Khel,"$1,678,216",-,-,"$1,678,216",100%,2003
"17,572",Alone with Her,"$1,677,967","$10,787",0.6%,"$1,667,180",99.4%,2007
"17,573",Final Portrait,"$1,677,835","$461,972",27.5%,"$1,215,863",72.5%,2017
"17,574",A Home of Our Own,"$1,677,807","$1,677,807",100%,$0,-,1993
"17,575",Dumber Heroes,"$1,677,500",-,-,"$1,677,500",100%,2005
"17,576",Bentornato presidente,"$1,677,301",-,-,"$1,677,301",100%,2019
"17,577",The Gingerbread Man,"$1,677,131","$1,677,131",100%,$0,-,1998
"17,578",Let's Steal Together,"$1,676,554",-,-,"$1,676,554",100%,2007
"17,579",Slam,"$1,676,136",-,-,"$1,676,136",100%,2003
"17,580",Marci X,"$1,675,706","$1,648,818",98.4%,"$26,888",1.6%,2003
"17,581",Nothing Left to Fear,"$1,675,381","$7,886",0.5%,"$1,667,495",99.5%,2013
"17,582",Bo,"$1,675,160",-,-,"$1,675,160",100%,2010
"17,583",Walk Proud,"$1,675,040","$1,675,040",100%,$0,-,1979
"17,584",Kamen Rider OOO 10th: The Core Medals of Resurrection,"$1,675,005",-,-,"$1,675,005",100%,2022
"17,585",Ginger & Rosa,"$1,674,776","$1,012,973",60.5%,"$661,803",39.5%,2012
"17,586",Louis Tomlinson: All of Those Voices,"$1,674,696",-,-,"$1,674,696",100%,2023
"17,587",Jangan Pandang Belakang Congkak,"$1,674,437",-,-,"$1,674,437",100%,2009
"17,588",Mr. Nice,"$1,673,840",-,-,"$1,673,840",100%,2010
"17,589",Tia Tui La Cao Thu,"$1,673,793",-,-,"$1,673,793",100%,2016
"17,590",Eileen,"$1,673,665","$1,435,007",85.7%,"$238,658",14.3%,2023
"17,591",Dormant Beauty,"$1,673,235",-,-,"$1,673,235",100%,2012
"17,592",The Commander and the Stork,"$1,673,004",-,-,"$1,673,004",100%,2012
"17,593",Prick Up Your Ears,"$1,672,927","$1,654,743",98.9%,"$18,184",1.1%,1987
"17,594",Equity,"$1,672,306","$1,605,463",96%,"$66,843",4%,2016
"17,595",Last Stop 174,"$1,672,292",-,-,"$1,672,292",100%,2008
"17,596",PriPara: Everyone's Yearning Let's Go PriPari,"$1,672,177",-,-,"$1,672,177",100%,2016
"17,597",A Brother's Love,"$1,671,969","$539,524",32.3%,"$1,132,445",67.7%,2019
"17,598",My Original Dream,"$1,671,957",-,-,"$1,671,957",100%,2015
"17,599",Nepobedimyy,"$1,671,849",-,-,"$1,671,849",100%,2008
"17,600",The Perfect Ones,"$1,671,700",-,-,"$1,671,700",100%,2018
"17,601",Listen to My Heart,"$1,671,352",-,-,"$1,671,352",100%,2009
"17,602",Vanishing on 7th Street,"$1,671,196","$22,729",1.4%,"$1,648,467",98.6%,2011
